"id","odd1","odd2","odd3","odd4","odd5","odd6","odd7","odd8"
4,1,1,1,1,1,0,0,0
7,2,0,1,0,0,0,1,0
12,2,0,1,0,1,0,0,0
14,1,1,2,1,1,1,0,1
37,1,1,1,0,0,0,0,0
39,1,1,1,0,0,1,1,0
43,0,0,1,1,0,0,0,0
45,2,1,2,0,0,0,0,0
49,1,1,1,1,0,0,0,0
51,2,2,2,1,1,1,2,2
53,2,2,2,2,1,0,1,0
75,1,1,1,0,0,1,1,0
80,1,1,2,1,0,1,1,1
93,2,2,2,1,1,1,1,1
96,0,1,1,0,2,1,0,1
103,1,0,0,1,1,2,0,1
115,2,1,2,0,2,1,1,1
128,1,0,1,0,0,1,0,0
135,2,2,1,0,2,1,0,0
138,0,0,1,0,0,1,0,0
139,1,1,1,0,0,1,0,0
144,1,1,1,0,0,0,0,0
145,2,2,2,0,1,1,2,2
147,1,1,1,0,1,1,1,0
150,1,1,0,0,0,0,0,0
151,2,2,2,1,0,1,1,1
162,2,2,1,1,0,0,0,0
166,1,1,0,0,1,2,0,0
172,2,2,1,0,0,1,0,0
177,2,2,1,1,1,0,1,1
180,1,0,1,0,0,1,0,0
183,1,1,2,2,2,0,0,0
186,2,1,1,1,2,2,1,0
188,1,0,0,0,0,1,0,0
194,1,1,2,1,0,1,0,1
195,1,1,2,1,0,0,1,1
202,2,1,1,1,0,0,1,0
208,1,1,1,0,0,0,1,0
210,1,1,0,0,0,0,0,0
212,0,1,1,0,0,0,0,0
213,2,2,1,1,0,0,0,0
214,2,2,2,2,1,2,1,1
217,1,1,1,0,0,0,0,0
222,2,0,1,1,2,0,1,1
226,2,1,1,1,1,2,1,0
237,1,1,1,0,0,0,0,0
238,1,1,2,0,0,0,0,0
239,0,1,2,0,0,0,0,0
241,1,1,1,0,0,0,0,0
242,1,1,1,0,0,0,0,0
245,1,1,1,0,0,0,0,0
246,1,1,1,0,0,1,1,0
248,1,2,1,0,0,0,1,0
256,2,2,1,0,0,1,0,0
258,2,2,2,0,1,2,1,1
271,1,1,1,0,1,1,0,0
272,1,1,2,1,0,1,1,0
273,2,1,1,0,1,1,0,0
275,1,1,1,1,2,1,0,0
279,1,0,1,0,0,1,1,0
282,1,0,1,1,0,0,0,0
284,1,0,0,0,0,0,0,1
291,0,0,0,0,2,0,1,0
296,2,1,1,0,1,1,1,0
306,1,1,1,1,1,2,1,1
307,2,1,1,0,0,0,0,0
308,2,2,2,1,1,1,1,1
312,1,0,1,2,1,1,0,0
315,1,1,0,0,1,0,0,1
317,2,1,2,2,0,2,1,2
319,2,0,2,0,0,0,1,0
320,0,0,0,0,0,0,0,0
324,2,2,1,0,1,1,0,0
325,2,1,1,0,1,1,0,1
330,2,2,2,1,0,1,0,0
331,1,1,1,1,0,1,0,0
338,2,1,1,0,0,1,0,0
339,2,0,1,1,0,0,0,0
340,1,0,1,0,0,1,0,0
344,2,2,2,0,0,0,1,1
346,2,1,1,1,1,0,0,0
347,0,1,0,0,1,1,0,0
351,2,1,1,1,1,1,0,1
355,1,0,0,0,1,1,0,0
356,1,1,1,2,0,2,0,1
358,1,1,2,0,0,0,0,0
360,1,0,1,1,1,1,1,0
362,1,1,1,2,0,1,0,0
363,2,1,1,1,2,1,1,1
364,1,1,1,0,1,1,0,0
369,2,1,2,0,1,1,1,0
371,1,0,1,0,0,1,1,0
372,1,1,0,1,1,1,0,0
373,2,2,1,1,1,1,1,0
380,1,1,1,0,1,0,0,0
381,1,2,1,0,0,1,0,1
384,2,1,2,0,0,0,0,0
385,2,1,2,2,1,0,0,0
390,1,0,1,0,0,0,0,0
403,1,1,1,0,0,1,1,0
405,2,2,1,1,0,1,1,2
406,1,1,1,1,1,1,0,0
408,2,2,2,2,1,2,2,1
409,2,2,1,0,0,2,1,0
410,1,1,1,0,0,1,0,0
415,1,1,1,1,0,0,0,0
417,0,0,2,1,0,1,0,1
419,2,2,2,1,0,2,1,0
420,1,1,1,1,1,1,1,1
421,1,0,1,0,0,0,0,0
424,2,2,2,1,1,1,0,1
427,1,1,1,0,2,1,1,0
428,2,1,1,1,1,1,0,0
429,1,1,1,1,0,1,0,0
430,2,1,1,1,2,1,0,0
433,1,1,1,0,0,2,1,0
446,1,2,1,1,2,1,0,0
447,1,0,1,1,1,0,0,0
448,1,1,1,0,1,0,1,0
452,2,2,2,2,1,2,2,2
455,2,2,2,0,0,0,0,0
460,2,2,1,1,0,1,0,1
465,2,2,2,2,2,2,2,2
471,2,0,1,0,0,1,0,0
472,2,2,2,0,0,1,0,0
3001,1,0,0,0,0,0,0,0
3002,1,2,2,1,1,1,1,0
3003,2,1,1,1,1,1,0,1
3009,1,1,0,0,1,1,0,0
3011,1,0,1,0,0,0,0,0
3019,1,1,1,0,0,0,0,0
3022,1,2,1,1,0,1,0,0
3024,1,0,1,1,0,0,0,0
3026,1,1,1,0,1,0,0,0
3028,1,1,1,1,0,0,1,0
3033,2,1,1,2,0,1,1,1
3038,1,1,1,0,1,1,1,0
3040,1,0,1,0,0,0,0,0
3042,1,1,1,0,0,0,1,0
3044,2,0,1,0,1,2,0,0
3047,1,0,1,0,0,0,0,0
3055,0,0,1,1,1,0,0,0
3059,2,1,1,1,1,1,1,1
3062,1,2,1,0,0,1,1,0
3064,2,2,2,1,1,1,0,0
3076,1,1,1,1,0,0,0,1
3080,0,1,1,0,0,0,0,0
3083,0,1,1,0,1,0,0,0
3085,2,2,2,0,1,2,1,0
3088,2,1,1,1,1,0,0,1
3091,0,0,0,0,0,0,0,0
3096,1,1,1,0,0,0,0,0
3098,0,1,1,1,0,0,0,1
3101,1,1,0,1,1,1,0,0
3104,2,2,1,1,1,0,0,0
3106,1,1,1,0,0,0,1,1
3107,2,1,1,0,0,1,1,0
3110,1,1,2,0,0,0,0,0
3111,0,0,0,0,1,0,0,0
3114,1,0,1,1,1,1,0,0
3118,1,1,1,0,0,1,1,0
3121,1,1,1,0,2,1,0,1
3128,0,0,1,0,1,0,0,0
3129,1,1,1,1,1,1,1,0
3137,2,2,1,1,0,0,0,0
3138,1,1,1,2,0,0,0,0
3145,1,1,1,1,0,0,0,0
3148,1,0,1,1,1,0,1,0
3150,2,0,2,1,2,1,1,1
3153,1,1,0,0,1,0,0,0
3164,0,0,0,0,0,0,0,0
3174,2,2,2,1,1,1,0,0
3180,1,0,0,1,0,1,0,0
3190,0,0,0,0,0,0,0,0
3195,1,1,1,1,0,0,0,0
3198,1,0,2,1,0,1,0,1
3226,1,1,0,0,0,0,0,0
3227,0,0,1,0,0,1,0,0
3228,1,1,1,1,1,0,0,0
3232,0,0,1,1,2,1,0,0
3236,0,0,0,0,0,0,0,0
3252,0,1,0,0,1,1,0,0
3266,1,0,1,0,1,0,0,0
3272,1,1,1,0,1,0,0,0
3273,2,1,1,2,2,1,1,1
3285,2,2,1,0,0,0,0,0
3287,0,0,1,1,1,0,0,0
3292,2,2,2,1,2,2,0,1
3293,1,0,1,0,1,2,0,0
3309,1,1,1,0,1,1,0,0
3321,1,0,1,0,0,0,0,0
3322,1,1,0,1,1,1,0,1
3325,2,1,2,2,1,0,0,2
3327,2,2,2,0,1,1,1,0
3333,2,1,0,1,0,0,0,0
3335,1,1,1,1,0,0,0,0
3337,1,1,1,0,0,0,0,0
3343,1,0,0,0,0,1,0,0
3345,1,1,0,0,1,1,0,1
3349,1,2,2,1,2,1,1,0
3354,1,0,0,0,0,0,0,0
3361,1,0,0,0,0,0,0,0
3362,1,1,1,1,0,1,1,0
31161,0,1,1,1,1,0,0,0
31162,1,1,1,0,0,1,0,0
31181,1,1,0,0,0,0,0,0
31186,1,1,1,1,1,1,1,0
31187,1,1,0,1,1,1,0,0
31204,2,1,1,0,1,1,0,0
31206,2,2,1,1,1,1,0,0
31214,1,1,1,0,1,1,0,0
31216,2,2,2,1,1,1,1,0
31222,2,1,2,2,2,2,0,0
31224,1,1,0,1,1,0,0,0
31225,1,1,1,0,1,0,1,1
31238,1,1,2,1,1,1,0,1
31246,1,0,1,1,1,0,1,0
31261,1,1,0,1,2,2,1,0
31262,1,1,2,2,1,1,1,1
31278,1,1,1,1,0,0,0,1
31279,2,2,1,2,2,2,2,2
